ID,Home_Longitude,Home_Latitude
231,104.071919,30.636754
232,104.061972,30.646213
233,104.076892,30.644778
234,104.04386,30.658515
235,104.065149,30.66041
236,104.046514,30.67032
237,104.072953,30.669551
238,104.059487,30.6713
239,104.071383,30.684172
240,104.076206,30.666604
241,104.031804,30.665901
242,104.041978,30.674556
243,104.041358,30.652858
244,104.088923,30.637228
245,104.047025,30.672328
246,104.051081,30.642637
247,104.080329,30.660036
248,104.075954,30.660075
249,104.080173,30.6653
250,104.046604,30.654542
251,104.079418,30.645104
252,104.035645,30.65657
253,104.064859,30.664795
254,104.089042,30.663817
255,104.04258,30.643357
256,104.071942,30.663432
257,104.043225,30.685192
258,104.076931,30.657483
259,104.079311,30.640092
260,104.045454,30.662911
261,104.077776,30.658342
262,104.03734,30.66324
263,104.058901,30.6865
264,104.048536,30.651925
265,104.048057,30.650111
266,104.044747,30.648391
267,104.08022,30.640212
268,104.029064,30.666706
269,104.074645,30.651282
270,104.059048,30.65275
271,104.06993,30.645179
272,104.037393,30.664045
273,104.086769,30.659973
274,104.0769,30.677467
275,104.080882,30.6479
276,104.087957,30.643335
277,104.075158,30.643567
278,104.061713,30.668029
279,104.095635,30.670841
280,104.041345,30.644407
281,104.071231,30.671372
282,104.050882,30.663048
283,104.063207,30.67376
284,104.088892,30.662091
285,104.060893,30.639601
286,104.047883,30.660997
287,104.070144,30.649476
288,104.041507,30.648641
289,104.077911,30.670357
290,104.084505,30.638223
291,104.064471,30.662182
292,104.075511,30.641712
293,104.097875,30.659123
294,104.056683,30.678586
295,104.034018,30.643052
296,104.048672,30.65084
297,104.072827,30.64776
298,104.070495,30.636825
299,104.056705,30.635116
300,104.078807,30.670512
301,104.047362,30.653028
302,104.033428,30.683816
303,104.073953,30.652085
304,104.062793,30.680321
305,104.061008,30.660492
306,104.083736,30.645055
307,104.047522,30.6706
308,104.069325,30.668902
309,104.081414,30.678007
310,104.043564,30.64862
311,104.072435,30.646726
312,104.045049,30.648007
313,104.074354,30.656637
314,104.070917,30.63545
315,104.050258,30.669721
316,104.070224,30.675457
317,104.035189,30.657422
318,104.072678,30.676005
319,104.076398,30.678706
320,104.070649,30.658636
321,104.040797,30.668088
322,104.055531,30.668021
323,104.075396,30.665209
324,104.094395,30.655745
325,104.082923,30.652109
326,104.059511,30.637965
327,104.065893,30.678484
328,104.045649,30.682935
329,104.038264,30.642669
330,104.06036,30.6339
331,104.095551,30.650066
332,104.085123,30.653208
333,104.046988,30.654062
334,104.041911,30.680951
335,104.089108,30.655057
336,104.053833,30.647995
337,104.05574,30.64993
338,104.091383,30.662634
339,104.078777,30.664769
340,104.032783,30.662901
341,104.079808,30.68286
342,104.107041,30.660863
343,104.061888,30.68271
344,104.080989,30.648785
345,104.078534,30.67451
346,104.045117,30.650095
347,104.066052,30.679083
348,104.050706,30.652907
349,104.069522,30.641297
350,104.067115,30.652783
351,104.053666,30.660147
352,104.0732,30.639106
353,104.046537,30.640848
354,104.094413,30.642039
355,104.089382,30.661056
356,104.04259,30.651203
357,104.07375,30.684312
358,104.039167,30.645496
359,104.069236,30.676719
360,104.078821,30.659955
361,104.039615,30.662501
362,104.042181,30.663652
363,104.03689,30.659972
364,104.044306,30.663662
365,104.049233,30.670995
366,104.06251,30.666618
367,104.027189,30.658438
368,104.069298,30.648311
369,104.0811,30.660855
370,104.07124,30.6409
371,104.035149,30.653802
372,104.065494,30.675982
373,104.074808,30.662656
374,104.052542,30.666833
375,104.096696,30.674358
376,104.061065,30.6437
377,104.059037,30.662105
378,104.086048,30.646885
379,104.081677,30.668945
380,104.036173,30.65089
381,104.072587,30.668024
382,104.0677,30.641816
383,104.050955,30.644681
384,104.056257,30.679182
385,104.059767,30.65897
386,104.056928,30.639539
387,104.035347,30.661867
388,104.07324,30.649023
389,104.056711,30.683185
390,104.065789,30.636109
391,104.074681,30.669395
392,104.047418,30.678343
393,104.046091,30.646138
394,104.053763,30.666377
395,104.058785,30.639777
396,104.042208,30.649237
397,104.053228,30.632593
398,104.087122,30.665039
399,104.034355,30.670958
400,104.03606,30.643852
401,104.050554,30.648144
402,104.046836,30.677412
403,104.069293,30.665218
404,104.081633,30.681901
405,104.037672,30.653289
406,104.055709,30.660468
407,104.040145,30.673897
408,104.074786,30.654992
409,104.051628,30.658767
410,104.074342,30.67677
411,104.044048,30.655021
412,104.060634,30.671497
413,104.051739,30.647054
414,104.031592,30.645242
415,104.045276,30.658169
416,104.034296,30.656187
417,104.055417,30.683658
418,104.056472,30.670267
419,104.053876,30.64475
420,104.076438,30.650469
421,104.051563,30.642835
422,104.070001,30.667232
423,104.060158,30.681122
424,104.05997,30.64883
425,104.083377,30.666146
426,104.047036,30.670295
427,104.031838,30.65997
428,104.064285,30.666865
429,104.056969,30.635482
430,104.071575,30.679459
431,104.049551,30.67475
432,104.044206,30.647668
433,104.043905,30.670195
434,104.06689,30.643004
435,104.092441,30.652299
436,104.03917,30.655674
437,104.091221,30.648818
438,104.04087,30.644456
439,104.082085,30.637545
440,104.04159,30.667073
441,104.05841,30.672105
442,104.081891,30.659218
443,104.045477,30.672991
444,104.041071,30.658956
445,104.058171,30.667307
446,104.043967,30.642161
447,104.03433,30.675191
448,104.043197,30.671621
449,104.082316,30.656469
450,104.033228,30.661962
451,104.047147,30.670678
452,104.089812,30.655932
453,104.053021,30.684883
454,104.088793,30.680803
455,104.056387,30.634017
456,104.041296,30.659119
457,104.053601,30.680067
458,104.058797,30.684338
459,104.05308,30.676314
460,104.070646,30.671271
461,104.044587,30.66798
462,104.05293,30.672519
463,104.064919,30.643667
464,104.070419,30.675917
465,104.060378,30.646259
466,104.087922,30.650166
467,104.056521,30.636229
468,104.066567,30.649938
469,104.045864,30.668568
470,104.034521,30.647485
471,104.042163,30.681936
472,104.088196,30.661766
473,104.069526,30.662692
474,104.078272,30.669286
475,104.054711,30.651281
476,104.086636,30.665359
477,104.071467,30.659282
478,104.043623,30.652496
479,104.0464,30.657004
480,104.051907,30.646756
481,104.045599,30.652956
482,104.054439,30.64575
483,104.075061,30.635967
484,104.051627,30.640332
485,104.041592,30.656904
486,104.072424,30.653987
487,104.071222,30.647037
488,104.044403,30.674222
489,104.073774,30.675043
490,104.082803,30.642022
491,104.079181,30.641578
492,104.075231,30.642328
493,104.051562,30.63186
494,104.047468,30.667061
495,104.058671,30.645594
496,104.054091,30.627781
497,104.060402,30.667475
498,104.062376,30.638081
499,104.0927,30.653716
500,104.046094,30.656204
501,104.084749,30.63246
502,104.042893,30.649921
503,104.099245,30.670064
504,104.062316,30.677461
505,104.096903,30.65917
506,104.061548,30.640183
507,104.053622,30.636833
508,104.084288,30.670191
509,104.042805,30.66022
510,104.078011,30.669308
511,104.045502,30.64735
512,104.043327,30.659722
513,104.063198,30.647443
514,104.09235,30.645173
515,104.090412,30.649018
516,104.077104,30.666414
517,104.061114,30.661072
